"ProjectCountyName","num.entries","init.app.amt","curr.app.amt","undis.amt","jobs","pop","pc.num.entries","pc.init.app.amt","pc.curr.app.amt","pc.undis.amt","pc.jobs"
"KINGS",1327,141701843.49,140746054.57,NA,19766,152940,0.00867660520465542,926.519180659082,920.269743494181,NA,0.129240224924807
"SAN BENITO",981,102630254.79,101961332.38,9595585.04,12627,62808,0.0156190294230034,1634.03156906763,1623.38129505795,152.776478155649,0.2010412686282
"TUOLUMNE",970,69861924.14,70121806.24,NA,8500,54478,0.017805352619406,1282.38782884834,1287.15823341532,NA,0.156026285840156
"SISKIYOU",832,50036524.66,47845711.66,4201599.82,7073,43539,0.0191093043018903,1149.23458646271,1098.91618227336,96.5019825903213,0.162452054479892
"CALAVERAS",827,50096971.54,50075355.84,5573467.71,7296,45905,0.0180154667247577,1091.31840845224,1090.84752946302,121.413085938351,0.158936934974404
"LAKE",775,69816828.17,69590022.79,6970069.1,10235,64386,0.0120367781815923,1084.3479664834,1080.82537803249,108.254420215575,0.158963128630448
"TEHAMA",765,77292452.11,76436011.36,2608037.33,8782,65084,0.011754040931719,1187.57992916846,1174.42092311474,40.0718660500277,0.134933316944257
"YUBA",649,58592919.24,58347216.72,NA,6844,78668,0.00824986017186149,744.812620633549,741.689336451925,NA,0.0869985254487212
"AMADOR",606,33893885.62,33882423.62,2864013.21,4777,39752,0.015244515999195,852.63346800161,852.345130307909,72.0470217850674,0.120170054336889
"MONO",573,42267360.43,42435253.55,4859977.69,6128,14444,0.0396704513985046,2926.29191567433,2937.91564317364,336.470346856826,0.42425920797563
"PLUMAS",475,35901286.06,35871758.06,1278848.93,3280,18807,0.025256553410964,1908.93210294039,1907.36204923699,67.998560642314,0.17440314776413
"GLENN",469,59303774.49,58613342.31,NA,6617,28393,0.0165181558834924,2088.675888071,2064.3589021942,NA,0.233050399746416
"COLUSA",408,62524154.04,63870257.54,4284404.88,7246,21547,0.0189353506288578,2901.75681254931,2964.22970900821,198.839972153896,0.336288114354667
"INYO",380,35333937.13,39653407.88,2774430.4,5205,18039,0.0210654692610455,1958.75254337824,2198.20432839958,153.801785021343,0.2885414934309
"DEL NORTE",305,23974733.23,24057734.95,2033516.16,3783,27812,0.0109664892852006,862.028377319143,865.012762476629,73.1165022292536,0.136020422839062
"LASSEN",280,24921002.65,24888778.15,962412.01,2417,30573,0.00915840774539626,815.131084617146,814.077066365748,31.4791485951657,0.0790566840022242
"MARIPOSA",200,12410694.93,12462079.19,NA,1521,17203,0.011625879207115,721.426200662675,724.41313666221,NA,0.0884148113701099
"MODOC",162,8038845.53,8009176.1,711182.5,715,8841,0.0183237190363081,909.268807827169,905.912917090827,80.4414093428345,0.0808732043886438
"TRINITY",107,6777999.98,7049686.78,615833.41,885,12285,0.00870980870980871,551.72975010175,573.845077737078,50.1288897028897,0.072039072039072
"SIERRA",49,1702691.42,1726862.42,56538,288,3005,0.01630615640599,566.61944093178,574.663034941764,18.8146422628952,0.0958402662229617
"ALPINE",17,708471.92,713408.92,86117.92,114,1129,0.0150575730735164,627.52162976085,631.894526129318,76.2780513728964,0.100974313551816
